PANTONENAME,UNIQUECODE,L,a,b
100 C,10001,92,-8,65
101 C,10002,92,-9,74
10101 C,10003,85,0,0
10102 C,10004,80,-2,0
10103 C,10005,76,-1,0
10104 C,10006,72,-1,-2
10105 C,10007,71,-1,-1
10106 C,10008,69,-6,27
10107 C,10009,69,-8,37
10108 C,10010,69,-8,46
10109 C,10011,69,-8,54
10110 C,10012,69,-6,63
10111 C,10013,72,-6,72
10112 C,10014,69,-5,17
10113 C,10015,68,-6,30
10114 C,10016,68,-7,39
10115 C,10017,68,-5,47
10116 C,10018,68,-4,56
10117 C,10019,68,-2,64
10118 C,10020,67,-3,29
10119 C,10021,67,-1,38
10120 C,10022,66,1,46
10121 C,10023,65,3,54
10122 C,10024,65,8,61
10123 C,10025,65,12,68
10124 C,10026,67,-2,24
10125 C,10027,65,-2,32
10126 C,10028,63,0,39
10127 C,10029,62,3,44
10128 C,10030,61,8,51
10129 C,10031,60,14,55
10130 C,10032,62,9,21
10131 C,10033,59,13,28
10132 C,10034,57,16,34
10133 C,10035,53,19,39
10134 C,10036,51,22,42
10135 C,10037,48,25,46
10136 C,10038,65,4,12
10137 C,10039,62,9,19
10138 C,10040,58,13,25
10139 C,10041,55,15,31
10140 C,10042,53,19,35
10141 C,10043,49,21,38
10142 C,10044,62,12,24
10143 C,10045,60,17,31
10144 C,10046,58,23,38
10145 C,10047,57,28,45
10146 C,10048,55,33,51
10147 C,10049,54,38,57
10148 C,10050,61,18,14
10149 C,10051,58,24,19
10150 C,10052,55,31,26
10151 C,10053,53,35,33
10152 C,10054,52,41,40
10153 C,10055,51,46,46
10154 C,10056,64,8,6
10155 C,10057,60,15,12
10156 C,10058,56,22,15
10157 C,10059,52,27,20
10158 C,10060,49,33,24
10159 C,10061,47,39,28
10160 C,10062,59,25,0
10161 C,10063,56,32,3
10162 C,10064,53,39,6
10163 C,10065,50,44,12
10164 C,10066,49,48,18
10165 C,10067,48,54,26
10166 C,10068,58,25,-5
10167 C,10069,54,32,-5
10168 C,10070,51,39,-1
10169 C,10071,47,45,0
10170 C,10072,45,50,5
10171 C,10073,43,56,11
10172 C,10074,57,20,-11
10173 C,10075,53,27,-13
10174 C,10076,50,33,-12
10175 C,10077,46,39,-13
10176 C,10078,44,46,-10
10177 C,10079,42,53,-7
10178 C,10080,62,17,-8
